Site,Description,Creek,Latitude,Longitude,Field,Lab,Stream,Fim,Bact,Ism,HabType,Fish,Cmann,ANID,YSIsiteID,Bmp,Alias,BmpType,Lake,MilesSuit,Miles,USGSID,Inactive,Comments,X,Y,Basin,EventSort,CIP,DA (MI²)
MHDDE,Morehead Dry Detention Effluent,Upper Little Sugar,35.217315,-80.845056,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,TRUE,MHDD,Outlet,FALSE,FALSE,,,TRUE,,,,,,FALSE,
MHDDI,Morehead Dry Detention Influent,Upper Little Sugar,35.21741,-80.845363,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,TRUE,MHDD,Inlet,FALSE,FALSE,,,TRUE,,,,,,FALSE,
MHPRGE,Mint Hill Park Rain Garden Effluent,Goose Creek,35.179057,-80.634083,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,TRUE,MHPR,Outlet,FALSE,FALSE,,,TRUE,,,,,,FALSE,
MHPURE,Mint Hill Park Untreated Runoff (Influent),Goose Creek,35.179368,-80.633723,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,TRUE,MHPR,Inlet,FALSE,FALSE,,,TRUE,,,,,,FALSE,
MPHSITE,Myers Park High School Infiltration Trench Effluent,Briar Creek,35.169378,-80.833709,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,TRUE,MPHSIT,Outlet,FALSE,FALSE,,,FALSE,,,,,,FALSE,
MPHSITI,Myers Park High School Infiltration Trench Influent,Briar Creek,35.169853,-80.834366,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,TRUE,MPHSIT,Inlet,FALSE,FALSE,,,FALSE,,,,,,FALSE,
MPHSRGE,Myers Park High School Rain Garden Effluent,Briar Creek,35.169672,-80.835849,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,TRUE,MPHSRG,Outlet,FALSE,FALSE,,,FALSE,,,,,,FALSE,
MPHSRGI,Myers Park High School Rain Garden Influent,Briar Creek,35.169764,-80.835866,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,TRUE,MPHSRG,Inlet,FALSE,FALSE,,,FALSE,,,,,,FALSE,
MPHSRGO,Myers Park High School Rain Garden Overflow,Briar Creek,35.169689,-80.835846,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,TRUE,MPHSRG,Outlet,FALSE,FALSE,,,FALSE,Overflow,,,,,FALSE,
NCHY21,Northcross - NC Hwy 21,McDowell Creek,35.446889,-80.866311,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,TRUE,,,FALSE,FALSE,,,TRUE,,,,,,FALSE,
